,,,,,,,,,,,,Calculation_result_range_bins_text_v2,Calculation_result_range_bins_text_v2,Calculation_result_range_bins_text_v2,Calculation_result_range_bins_text_v2,Calculation_result_range_bins_text_v2,Calculation_result_range_bins_text_v2
Water System ID,Water System Name,Source,County,Action Taken,,Testing Date,Sample Number,PFAS Measured,Result,State Action Level (SAL),Calculation_result_range_bins_text,Action & No PFAS detected,Action & PFAS detected below State Action Level (SAL),Action & PFAS detected meeting or exceeding State Action Level (SAL),No Action & No PFAS detected,No Action & PFAS detected below State Action Level (SAL),No Action & PFAS detected meeting or exceeding State Action Level (SAL)
3014,CRISTALINA,2,King,None,,5/2/2023,13003,(PFPeA) PFpentanoic acid,5.1ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3014,CRISTALINA,3,King,None,,5/2/2023,13005,(PFPeA) PFpentanoic acid,5.2ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3014,CRISTALINA,1,King,None,,5/2/2023,13001,(PFPeA) PFpentanoic acid,5ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3014,CRISTALINA,3,King,None,,9/18/2023,49101,(PFBS) PFbutane sulfonic acid,3ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3014,CRISTALINA,3,King,None,,9/18/2023,49101,(PFHxA) PFhexanoic acid,2.2ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3014,CRISTALINA,3,King,None,,9/18/2023,49101,(PFOA) PFoctanoic acid,2.4ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3014,CRISTALINA,3,King,None,,9/18/2023,49101,(PFOS) PFoctane sulfonic acid,2.5ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3014,CRISTALINA,3,King,None,,9/18/2023,49101,(PFPeA) PFpentanoic acid,3.2ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3014,CRISTALINA,3,King,None,,11/14/2023,42101,(PFBS) PFbutane sulfonic acid,3.7ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3014,CRISTALINA,3,King,None,,11/14/2023,42101,(PFOA) PFoctanoic acid,2.9ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3014,CRISTALINA,3,King,None,,11/14/2023,42101,(PFOS) PFoctane sulfonic acid,2.5ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3014,CRISTALINA,3,King,None,,11/14/2023,42101,(PFPeA) PFpentanoic acid,3.1ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3014,CRISTALINA,3,King,None,,2/13/2024,26101,(PFBS) PFbutane sulfonic acid,4.7ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3014,CRISTALINA,3,King,None,,2/13/2024,26101,(PFHpA) PFheptanoic acid,2.1ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3014,CRISTALINA,3,King,None,,2/13/2024,26101,(PFHxA) PFhexanoic acid,3.3ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3014,CRISTALINA,3,King,None,,2/13/2024,26101,(PFOA) PFoctanoic acid,5ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3014,CRISTALINA,3,King,None,,2/13/2024,26101,(PFOS) PFoctane sulfonic acid,3.2ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3014,CRISTALINA,3,King,None,,2/13/2024,26101,(PFPeA) PFpentanoic acid,5.6ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3160,ARTONDALE,4,Pierce,Yes,,8/2/2023,10601,(6:2FTS) H-PFoctane sulfonic acid,2.6ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3160,ARTONDALE,17,Pierce,Yes,,8/2/2023,10605,(PFBA) PFbutanoic acid,4.2ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3160,ARTONDALE,4,Pierce,Yes,,8/2/2023,10601,(PFBA) PFbutanoic acid,4.8ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3160,ARTONDALE,4,Pierce,Yes,,8/2/2023,10607,(PFBS) PFbutane sulfonic acid,10.6ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3160,ARTONDALE,5,Pierce,Yes,,8/2/2023,10603,(PFBS) PFbutane sulfonic acid,17.1ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3160,ARTONDALE,17,Pierce,Yes,,8/2/2023,10605,(PFBS) PFbutane sulfonic acid,29.1ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3160,ARTONDALE,4,Pierce,Yes,,8/2/2023,10601,(PFBS) PFbutane sulfonic acid,30.7ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3160,ARTONDALE,17,Pierce,Yes,,8/2/2023,10605,(PFHpA) PFheptanoic acid,3.9ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3160,ARTONDALE,4,Pierce,Yes,,8/2/2023,10601,(PFHpA) PFheptanoic acid,4.6ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3160,ARTONDALE,17,Pierce,Yes,,8/2/2023,10605,(PFHxA) PFhexanoic acid,13.8ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3160,ARTONDALE,4,Pierce,Yes,,8/2/2023,10601,(PFHxA) PFhexanoic acid,15.2ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3160,ARTONDALE,4,Pierce,Yes,,8/2/2023,10607,(PFHxA) PFhexanoic acid,4.8ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3160,ARTONDALE,5,Pierce,Yes,,8/2/2023,10603,(PFHxA) PFhexanoic acid,6.3ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3160,ARTONDALE,4,Pierce,Yes,,8/2/2023,10607,(PFHxS) PFhexane sulfonic acid,16.7ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3160,ARTONDALE,5,Pierce,Yes,,8/2/2023,10603,(PFHxS) PFhexane sulfonic acid,27.9ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3160,ARTONDALE,17,Pierce,Yes,,8/2/2023,10605,(PFHxS) PFhexane sulfonic acid,46.4ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3160,ARTONDALE,4,Pierce,Yes,,8/2/2023,10601,(PFHxS) PFhexane sulfonic acid,52.5ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3160,ARTONDALE,5,Pierce,Yes,,8/2/2023,10603,(PFOA) PFoctanoic acid,2.9ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3160,ARTONDALE,17,Pierce,Yes,,8/2/2023,10605,(PFOA) PFoctanoic acid,5.1ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3160,ARTONDALE,4,Pierce,Yes,,8/2/2023,10601,(PFOA) PFoctanoic acid,5.4ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3160,ARTONDALE,17,Pierce,Yes,,8/2/2023,10605,(PFOS) PFoctane sulfonic acid,108ng/L,15ng/L,PFAS Detected: At or Exceeding State Action Level (SAL),,,,,,
3160,ARTONDALE,4,Pierce,Yes,,8/2/2023,10601,(PFOS) PFoctane sulfonic acid,116ng/L,15ng/L,PFAS Detected: At or Exceeding State Action Level (SAL),,,,,,
3160,ARTONDALE,4,Pierce,Yes,,8/2/2023,10607,(PFOS) PFoctane sulfonic acid,39ng/L,15ng/L,PFAS Detected: At or Exceeding State Action Level (SAL),,,,,,
3160,ARTONDALE,5,Pierce,Yes,,8/2/2023,10603,(PFOS) PFoctane sulfonic acid,63.2ng/L,15ng/L,PFAS Detected: At or Exceeding State Action Level (SAL),,,,,,
3160,ARTONDALE,17,Pierce,Yes,,8/2/2023,10605,(PFPeA) PFpentanoic acid,11ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3160,ARTONDALE,4,Pierce,Yes,,8/2/2023,10601,(PFPeA) PFpentanoic acid,13.3ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3160,ARTONDALE,4,Pierce,Yes,,8/2/2023,10607,(PFPeA) PFpentanoic acid,3.8ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3160,ARTONDALE,5,Pierce,Yes,,8/2/2023,10603,(PFPeA) PFpentanoic acid,4.6ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3160,ARTONDALE,17,Pierce,Yes,,8/2/2023,10605,(PFPeS) PFpentanesulfonic acid,14.8ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3160,ARTONDALE,4,Pierce,Yes,,8/2/2023,10601,(PFPeS) PFpentanesulfonic acid,18ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3160,ARTONDALE,4,Pierce,Yes,,8/2/2023,10607,(PFPeS) PFpentanesulfonic acid,5.2ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3160,ARTONDALE,5,Pierce,Yes,,8/2/2023,10603,(PFPeS) PFpentanesulfonic acid,7.8ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3160,ARTONDALE,18,Pierce,None,,8/28/2023,74935,(PFBS) PFbutane sulfonic acid,2.5ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3350,Auburn City of,3,King,None,,6/8/2023,5501,(PFBS) PFbutane sulfonic acid,2.8ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
